document_id,year,paper,document_type,source_text_file,extraction_quality,question_number,subquestion,marks,marks_all_found,question_text,question_char_count,segment_index,segmentation_status
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,2.0,2.2,,[],"2.2 The following information is given about a quadratic number pattern:

T, =3, T,-T, =9 and T,-T, =21",103.0,5.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,2.0,2.2.1,2.0,[2],"2.2.1 Show that 7,=111 (2)",26.0,6.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,2.0,2.2.2,,[],"2.2.2 Show that the general term of the quadratic pattern is T,, = 6n? —9n+6 ()",79.0,7.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,2.0,2.2.3,16.0,"[3, 16]","2.2.3 Show that the pattern is increasing for all ne N. (3)
[16]",64.0,8.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,3.0,3.1,,[],3.1 Given the geometric series: 3+6+12+... to n terms.,54.0,1.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,3.0,3.1.1,,[],"3.1.1 Write down the general term of this series. qd)
k",55.0,2.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,3.0,3.1.2,4.0,[4],"3.1.2 Calculate the value of k such that: >50y = 98 301 (4)
p=l",63.0,3.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,3.0,3.2,10.0,"[5, 10]","3.2 A geometric sequence and an arithmetic sequence have the same first term.

e The common ratio of the geometric sequence is 3

The common difference of the arithmetic sequence is 3
The sum of 22 terms of the arithmetic sequence is 734 more than the sum to
infinity of the geometric sequence.

Calculate the value of the first term. (5)
[10]

Copyright reserved Please turn over

Mathematics/P 1 5 DBE/November 2023
NSC",421.0,4.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,4.0,4.1,1.0,[1],4.1 Write down the equation of the asymptote of /. (1),54.0,1.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,4.0,4.2,2.0,[2],4.2 Determine the coordinates of B. (2),39.0,2.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,4.0,4.3,3.0,"[3, 3]","4.3 Determine the equation of k, a straight line passing through A and B in the form

Kx) =... (3)
44 Calculate the vertical distance between & and f at x=1 (3)",160.0,3.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,4.0,4.5,14.0,"[1, 2, 2, 14]","4.5 Write down the equation of g if itis given that g(x)= f(x) +4 (1)
46 Write down the domain of g'. (2)
47 Write down the equation of g7' inthe form y=... (2)

[14]

Copyright reserved Please turn over

Mathematics/P1 6

NSC",226.0,4.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,5.0,5.2,,[],5.2,3.0,1.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,5.0,5.3,,[],5.3,3.0,2.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,5.0,5.4,,[],5.4,3.0,3.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,5.0,5.5,,[],5.5,3.0,4.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,5.0,5.6,,[],5.6,3.0,5.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,5.0,5.7,18.0,"[2, 2, 1, 3, 5, 4, 18]","5.7

Write down the coordinates of the turning point of (2)
Calculate the coordinates of C. (2)
Calculate the value of . (ql)
Write down the range of g. (1)
For which values of x will f(x).g(x) <0? (3)
Calculate the values of k so that h(x) =—2x +k will not intersect the graph of g. (5)
h isa tangent to g at R, a point in the first quadrant. Calculate ¢ such that

y=f(x)+t intersects g at R. (4)

[18]

Copyright reserved

Please turn over

Mathematics/P1 7 DBE/November 2023
NSC",482.0,6.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,6.0,6.1,,[],"6.1 Patrick deposited an amount of R18 500 into an account earning r% interest p.a.,

compounded monthly. After 6 months, his balance was R19 319,48.",149.0,1.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,6.0,6.1.1,3.0,[3],6.1.1 Calculate the value of r. (3),35.0,2.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,6.0,6.1.2,2.0,[2],6.1.2 Calculate the effective interest rate. (2),48.0,3.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,6.0,6.2,,[],"6.2 Kuda bought a laptop for R10 000 on 31 January 2019. He will replace it with a new
one in 5 years' time on 31 January 2024.",127.0,4.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,6.0,6.2.1,2.0,[2],"6.2.1 The value of the old laptop depreciates annually at a rate of 20% p.a.
according to the straight-line method. After how many years will the
laptop have a value of RO? (2)",176.0,5.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,6.0,6.2.2,4.0,[4],"6.2.2 Kuda will buy a laptop that costs R20 000. In order to cover the cost
price, he made his first monthly deposit into a savings account on
28 February 2019. He will make his 60% monthly deposit on
31 January 2024. The savings account pays interest at 8,7% p.a.,
compounded monthly. Calculate Kuda's monthly deposit into this
account. (4)",341.0,6.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,6.0,6.3,16.0,"[6, 16]","6.3 Tino wins a jackpot of R1 600 000. He invests all of his winnings in a fund that earns
interest of 11,2% p.a., compounded monthly. He withdraws R20 000 from the fund at
the end of each month. His first withdrawal is exactly 1 month after his initial
investment. How many withdrawals of R20 000 will Tino be able to make from this

fund? (6)
[16]",349.0,7.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,7.0,7.1,6.0,[6],"7.1 Determine f /(x) from first principles if f(x) =—4x? (6)
72 Determine:",74.0,1.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,7.0,7.21,2.0,[2],7.21 f'@) if f(x) = 2x? -3x (2),31.0,2.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,7.0,7.2.2,3.0,[3],"7.2.2 D, bal + ox) (3)
73 For which values of x will the tangent to f(x) =—2x>+8x have a positive gradient? Se

Copyright reserved Please tum over

Mathematics/P1 8 DBE/November 2023
NSC",186.0,3.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,8.0,8.1,4.0,[4],8.1 Determine the coordinates of the turning points of f (4),60.0,1.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,8.0,8.2,4.0,[4],"8.2 Draw a sketch graph of /- Clearly label all the intercepts with the axes and any

turning points. (4)",105.0,2.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,8.0,8.3,2.0,[2],"8.3 Use the graph to determine the value(s) of & for which —x°+6x7~-9x+4=k will

have three real and unequal roots. (2)",119.0,3.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,8.0,8.4,6.0,[6],"8.4 The line g{x)=ax+5 is the tangent to f at the point of inflection of Determine

the equation of g. (6)",106.0,4.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,8.0,8.5,18.0,[18],"8.5 Calculate the value of @, the acute angle formed between g and the x-axis in the

first quadrant. Q)

[18]",110.0,5.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,9.0,9.1,3.0,[3],"9.1 Show that the total area of the page is given by:
A(x) = = + 6x +480
x (3)",78.0,1.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,9.0,9.2,6.0,"[3, 6]","9.2 Determine the value of x such that the total area of the page is a minimum. (3)

[6]

Copyright reserved Please turn over

Mathematics/P1 9 DBE/November 2023
NSC",165.0,2.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,10.0,10.1,,[],"10.1 A and B are independent events. P(A) = ; and P(B)= ;
Determine:",68.0,1.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,10.0,10.1.1,,[],10.1.1 P(A and B),17.0,2.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,10.0,10.1.2,,[],10.1.2 P(at least ONE event occurs),35.0,3.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,10.0,10.2,,[],"10.2 The probability that it will snow on the Drakensberg Mountains in June is 5%.
e When it snows on the mountains, the probability that the minimum temperature in
Central South Africa will drop below 0 °C is 72%.
e If it does not snow on the mountains, the probability that the minimum

temperature in Central South Africa will drop below 0 °C is 35%.",353.0,4.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,10.0,10.2.1,,[],"10.2.1 Represent the given information on a tree diagram. Clearly indicate the
probabilities associated with EACH branch.",121.0,5.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,10.0,10.2.2,,[],"10.2.2 Calculate the probability that the temperature in Central South Africa will
NOT drop below 0 °C in June 2024.",116.0,6.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,10.0,10.3,,[],"10.3 Ten learners stand randomly in a line, one behind the other.",65.0,7.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,10.0,10.3.1,,[],10.3.1 In how many different ways can the ten learners stand in the line?,73.0,8.0,ok
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,10.0,10.3.2,15.0,"[2, 3, 1, 4, 15]","10.3.2 Calculate the probability that there will be 5 learners between the 2
youngest learners in the line.

TOTAL:

Copyright reserved

(2)
@)

(3)

@G)

(1)

(4)
[15]

150

Mathematics/P1 DBE/November 2023

NSC
INFORMATION SHEET
ea ENe’ —4ac
2a
A= P(1+ni) A= P(I-ni) A= P(-i)"" A= P(i+i)""
T, =a+(n-1)d S, = SPat(m-nd]
T, =ar"""" Ss _ ar"" -1) sr#l s.=;* 3 -l<r<l
. r-l -r

pox 1+i=1 pala +i)""

t t

7) = tim LE2M=F@)
h->0

h
xX, +X, yt+y
d = (x, -%)Y +O, -yy M| 2;
2 2
y=mxte y-y, =m(x-x) m= 22-1 m=tané
X.Y

(x-a! +(y-4VP =r?
In AABC: 2—=—?_ = ©

sinA sinB sinC

a =b? +e? -2be.cos A

area AABC =F ab.sin
sin(@ + )=sina.cos f +cosa.sin B sin(a - 8) =sina.cos 8 —cosa.sin B
cos (a + B)=cosa..cos B -sina.sin B cos(a -B)= cosa@.cos # + sina.sin B

cos’ a—sin’ a
cos2a@ =41-2sin’ a sin 2a = 2sin a.cosa

2cos* a—1

“ Yo, -D

2 _ isl

o =
n n
P(A)= 75) P(A or B) = P(A) + P(B)— P(A and B)
ni
Paathx p= L&D)

Y@-3

Copyright reserved",927.0,9.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,1.0,1.1.1,3.0,[3],"1.1.1
0122  xx
   043  xx

4or 3  xx

factors/formula
answer
answer (3)",87.0,1.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,1.0,1.1.2,4.0,[4],"1.1.2
623 2  xx
0623 2  xx

    
 32
63422
2
x

12,1or 79,1  xx

 standard form
 substitution into
correct formula
 answer
 answer (4)",159.0,2.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,1.0,1.1.3,4.0,[4],"1.1.3
112  xx
 
2
112  xx

1212 2  xxx

042  xx

  04 xx

x = 0 or x = 4
4or 0  xx

 squaring both sides

 standard form

 both x-values
 valid answer (4)",178.0,3.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,1.0,1.1.4,4.0,[4],"1.1.4
322  xx
0322  xx

   013  xx

CV’s: x = – 1 ; x = 3

3or 1  xx

 standard form

 critical values/factors

answer (4)
– 1 3

Mathematics P1/Wiskunde V1 3 DBE/November 2023
NSC/NSS – Marking Guidelines/Nasienriglyne
Copyright reserved/Kopiereg voorbehou Please turn over/Blaai om asseblief",312.0,4.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,1.0,1.2,5.0,"[1, 2, 1, 2, 5, 5]","1.2
11 1 . . . (1)xy
(2) . . .2y 2x

22  yx

11
22
1  yy

yyyy 2222 2 

0252 2  yy

0)2)(12(  yy

2or 2
1  yy

2or1  xx

OR/OF

11 1 . . . (1)xy

(2) . . .2y 2x

12 xy

1
12
11 

 xx

12
21  xx

xxxx 222 2 

022  xx

0)2)(1(  xx

2or1  xx

2or 2
1  yy


22  yx

substitution

standard form

y-values

x-values (5)

OR/OF


12 xy

substitution

standard form

x-values

y-values (5)

Mathematics P1/Wiskunde V1 4 DBE/November 2023
NSC/NSS – Marking Guidelines/Nasienriglyne
Copyright reserved/Kopiereg voorbehou Please turn over/Blaai om asseblief",611.0,5.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,1.0,1.3,4.0,"[3, 3, 3, 3, 3, 3, 3, 2, 4, 3, 2, 4]","1.3
nnmm 3322 21  
)13(3)12(2 2  nm

)8(3)3(2 nm 

)2(3)3(2 3nm 

3m
and
1n
4 nm

OR/OF

nnmm 3322 21  

)13(3)12(2 2  nm

)8(3)3(2 nm 

)2(3)3(2 3nm 

13 32   nm

Only true if m – 3 = 0 and n – 1 = 0
4 nm

 factors


32 (3) 3 (2 )mn  (same
bases)

3m and
1n

4mn (4)

OR/OF

 factors


32 (3) 3 (2 )mn  (same
bases)
 m – 3 = 0 and n – 1 = 0

4mn (4)
[24]

Mathematics P1/Wiskunde V1 5 DBE/November 2023
NSC/NSS – Marking Guidelines/Nasienriglyne
Copyright reserved/Kopiereg voorbehou Please turn over/Blaai om asseblief",568.0,6.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,2.0,2.1.1,3.0,"[3, 3]","2.1.1 7 + 12 + 17 + …..
 dnaTn 1

  5191791 T

45791 T

OR/OF
d = 5
52nTn

91 5(91) 2T 

45791 T

d = 5
substitution into correct
formula
answer (3)
OR/OF
d = 5
substitution n = 91
answer (3)",215.0,1.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,2.0,2.1.2,2.0,"[2, 2]","2.1.2
  dnanSn 122 
   5191722
91
91 S

112219 S

OR/OF
 lanSn  2

 45772
91
91 S

1122191 S

substitution into correct
formula
answer (2)

OR/OF

substitution into correct
formula
answer (2)",222.0,2.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,2.0,2.1.3,3.0,[3],"2.1.3
  517  nTn
51725 n

5155 n

103n

substitution into correct
formula
equate
answer (3)",105.0,3.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,2.0,2.2.1,2.0,"[6, 5, 5, 2, 2]","2.2.1
21and9;3 23121  TTTTT

3 12 33 66 111

9 21 33 45

12 12 12

111453321935 T

OR/OF
122 a

6a

3(6) 9b

9b

6 9 3 c  

2
5 6(5) 9(5) 6T   
= 111

 constant second diff = 12
 first differences : 33 and
45
(2)
OR/OF
 constant second diff = 12

substitute 5 (2)

Mathematics P1/Wiskunde V1 6 DBE/November 2023
NSC/NSS – Marking Guidelines/Nasienriglyne
Copyright reserved/Kopiereg voorbehou Please turn over/Blaai om asseblief",456.0,4.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,2.0,2.2.2,3.0,"[6, 6, 3]","2.2.2
122 a
6a

3(6) 9b
or
5 6 21b  
9b

6 9 3 c  

6c

696 2  nnTn


122 a


3(6) 9b /
5 6 21b  


6 9 3 c   (3)",141.0,5.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,2.0,2.2.3,16.0,"[6, 3, 6, 3, 16]","2.2.3
0912
/
 nTn

4
3n

nT is increasing for
Nn

OR/OF

9
2 2(6)
bn a
 

4
3n


min at n = 1 for
Nn

nT is increasing for
Nn


912
/
 nTn

4
3n
 increasing for
Nn
(3)
OR/OF

9
2 2(6)
bn a 

4
3n

 increasing for
Nn
(3)
[16]

Mathematics P1/Wiskunde V1 7 DBE/November 2023
NSC/NSS – Marking Guidelines/Nasienriglyne
Copyright reserved/Kopiereg voorbehou Please turn over/Blaai om asseblief",420.0,6.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,3.0,3.1.1,1.0,[1],"3.1.1
1 n
n arT
 
1
23


n
nT


 
1
23


n
nT (1)",60.0,1.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,3.0,3.1.2,4.0,[4],"3.1.2



k
p
p
1
301982.2
3

1
3 .2 3 6 12 ...2
k p
p
   

n = k
   3019812
123 

k

  768322 
k

1522 k
OR/OF
76832log2k

15k

expansion

 n = k
substitution into correct
formula

k = 15 (4)",218.0,2.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,3.0,3.2,10.0,"[5, 10]","3.2
 )3(2122
22
22  aS
6932222  aS

11 3
aS 


2
3a

7342
369322  aa

46813386144  aa

8241 a

2a

 substitution into
nS

6932222  aS

substitution into
S


22 734SS 

 answer (5)
[10]

Mathematics P1/Wiskunde V1 8 DBE/November 2023
NSC/NSS – Marking Guidelines/Nasienriglyne
Copyright reserved/Kopiereg voorbehou Please turn over/Blaai om asseblief",379.0,3.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,4.0,4.1,1.0,[1],4.1 y = – 4  y = – 4 (1),25.0,1.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,4.0,4.2,2.0,[2],"4.2 x – intercept:
420  x

x24

2x
 0;2B

y = 0

x = 2 (2)",67.0,2.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,4.0,4.3,3.0,[3],"4.3
3420 y
)3;0(A 

cmxy 

2
3m

  32
3  xxk

y = – 3

gradient

equation (3)",93.0,3.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,4.0,4.4,3.0,"[1, 1, 3]","4.4
    2
3312
31 k
242)1( 1 f

  units2
122
3distance Vertical 

k(1)

f(1) = – 2

answer (3)",116.0,4.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,4.0,4.5,1.0,[1],"4.5
    4 xfxg

  xxg 2
;
)4;2[x


  xxg 2 (1)",61.0,5.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,4.0,4.6,2.0,[2],"4.6 Range of g :




 16;4
1y

Domain of
:1g x




 16;4
1 or/of
1 164 x

x




 16;4
1 (2)",117.0,6.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,4.0,4.7,14.0,"[2, 14]","4.7
xyg 2: 
yxg 2:1 

  xxg 2
1 log
, x




 16;4
1

swop x and y

 equation
(2)
[14]

Mathematics P1/Wiskunde V1 9 DBE/November 2023
NSC/NSS – Marking Guidelines/Nasienriglyne
Copyright reserved/Kopiereg voorbehou Please turn over/Blaai om asseblief",266.0,7.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,5.0,5.1,2.0,[2],5.1 (1 ; 8)  x = 1  y = 8 (2),31.0,1.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,5.0,5.2,2.0,[2],"5.2
2
17
8)10(2
1 2

y

15C 0 ; 2



x = 0

 answer (2)",68.0,2.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,5.0,5.3,1.0,[1],"5.3
8
18


d
d

substitution (1 ; 8) (1)",44.0,3.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,5.0,5.4,1.0,[1],"5.4
0;  yRy 
0y (1)",23.0,4.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,5.0,5.5,3.0,[3],"5.5
5or03  xx
OR/OF

[ 3 ; 0) [5 ; )x   

03  x

5x
(3)",70.0,5.0,ok
2023_nov_p1_memo_maths,2023,P1,memo,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,good,5.0,5.6,5.0,"[5, 5]","5.6
xkx 82 
082 2  kxx

  824)( 2  k

0642 k

8;8:  kkCV

88  k
or/of
( 8 ; 8)k

OR/OF
//( ) ( )g x h x

28
2  x

228 x

2x

4y

 B(2 ; 4) and A(– 2 ; – 4)
For tangents:
kxxh  2)(
or
kxxh  2)(
k )2(24

k )2(24
8k

8k

88  k
or/of
( 8 ; 8)k

xkx 82 
 standard form
substitution into


0 or
0

inequality
(5)

OR/OF


2
8
x 
2

 x-values
 y-values

inequality
(5)

Mathematics P1/Wiskunde V1 10 DBE/November 2023
NSC/NSS – Marking Guidelines/Nasienriglyne
Copyright reserved/Kopiereg voorbehou Please turn over/Blaai om asseblief",610.0,6.0,ok
