rule_id,category,topic,trigger,advice,why,dbe_note,priority,source
PR_SEQ_014,sequences,SEQ,recursive formula initial terms missing,Write initial term(s) explicitly for recursive formulae.,Recursive rules need a starting point.,"Did you know — the DBE says initial terms are required. One number, one mark.",medium,exam_convention
PR_SEQ_015,sequences,SEQ,proof of sequence started from the wrong side,Start with the left-hand side for sequence proofs.,LHS → RHS is the standard direction.,Quick tip — the DBE says 'LHS first'. The marker follows your working more easily.,medium,exam_convention
PR_FUNC_001,functions,FUNC,domain and range on same line,State domain and range on separate lines.,They're different quantities and earn separate marks.,Did you know — the DBE flags 'domain and range confused' every year. Separate lines prevents this.,high,dbe_diagnostic
PR_FUNC_002,functions,FUNC,asymptote written without equation,Write asymptotes as equations: x = … or y = ….,The equation is the answer. The line is just the drawing.,"Fun fact — the DBE says 'asymptote not stated as equation'. x = 3, not just 'the line'.",high,exam_convention
PR_FUNC_003,functions,FUNC,intercepts not labelled as coordinates,"Label intercepts with coordinates, e.g. (0; 3).",Coordinate notation is expected.,Quick one — the DBE says '(0; 3)' earns the mark. '3' doesn't.,medium,exam_convention
PR_FUNC_004,functions,FUNC,sketch missing key points,Plot at least three key points plus asymptotes when sketching.,Shape comes from points and asymptotes.,"Did you know — the DBE says 'insufficient points on sketch' every year. Three points, asymptotes, done.",high,exam_convention
PR_FUNC_005,functions,FUNC,axes missing arrows or labels,Draw axes with arrows and label them x and y.,Axes must be identifiable.,Fun fact — arrows matter to the marker. The DBE notes axis-labelling.,low,exam_convention
PR_FUNC_006,functions,FUNC,scale not indicated,Indicate the scale on both axes if numbers are given.,Scale shows how values map to the drawing.,Quick tip — the DBE says 'label the axes and indicate scale'. Two lines.,medium,exam_convention
PR_FUNC_007,functions,FUNC,inverse written without restricted domain,Write f⁻¹(x) = … and state the restricted domain.,The inverse's domain equals the original's range.,Did you know — the DBE flags 'inverse domain not restricted' every year. It's a mark.,critical,dbe_diagnostic
PR_FUNC_008,functions,FUNC,transformation rule not written,Write the transformation rule next to the graph.,It proves you know what transformation you applied.,Fun fact — the DBE notes 'transformation applied but not stated'. One line.,medium,exam_convention
PR_FUNC_009,functions,FUNC,graph styles mixed without need,Use one style unless the question asks otherwise.,It keeps the sketch readable.,Quick one — one line style for one function. Coloured pens only if allowed.,low,exam_convention
PR_FUNC_010,functions,FUNC,asymptote equation not on graph,Write the equation of the asymptote on the graph itself.,Marker finds it on the drawing.,Did you know — the DBE says 'write the equation on the graph'. Two marks for one line.,medium,exam_convention
PR_FUNC_011,functions,FUNC,parabola range missing turning point value,Include the turning-point y-value with the correct inequality.,Range depends on the y-value of the turning point.,"Fun fact — the DBE flags 'range excludes turning point' every year. y ≤ 8, not y < 8.",critical,dbe_diagnostic
PR_FUNC_012,functions,FUNC,inequality region not shaded,Shade the required region lightly and label it.,Shading is the answer for graphical inequalities.,Quick tip — the DBE says 'shade and label the region'. One line.,medium,exam_convention
PR_FUNC_013,functions,FUNC,asymptote not named,Say 'vertical asymptote' or 'horizontal asymptote' when stating the equation.,Naming earns the mark.,"Did you know — the DBE requires the asymptote to be named. 'x = 3' works, but 'vertical asymptote x = 3' earns the language mark.",medium,exam_convention
PR_FUNC_014,functions,FUNC,inverse swap not shown,Swap x and y on a new line for inverse functions.,The swap line is a method mark.,"Fun fact — the DBE says 'swop step required'. One line: x = …, y = ….",medium,exam_convention
PR_FUNC_015,functions,FUNC,inverse domain not checked against original range,Check the inverse's domain equals the original's range.,Ranges and domains swap when you invert.,Did you know — the DBE keeps saying 'domain of inverse must match range of original'. Always check.,high,dbe_diagnostic
PR_FIN_001,finance,FIN,formula not written before substitution,Write the formula you're using before substituting any numbers.,Formula-first is the method mark.,Every year the DBE says 'formula not written'. Write it. It's a mark regardless of the arithmetic.,high,dbe_diagnostic
PR_FIN_002,finance,FIN,FV vs PV not stated,State whether you're using the future-value or present-value formula.,The formulas look similar but aren't the same.,Did you know — the DBE flags 'wrong formula choice' every year. Naming it prevents the error.,high,dbe_diagnostic
PR_FIN_003,finance,FIN,rate not converted for period,Convert the interest rate to the correct period and show the conversion.,i = r/m. The rate must match the period.,Fun fact — the DBE says 'wrong rate for period' is a top-3 finance error. Show i = r/m before substituting.,critical,dbe_diagnostic
PR_FIN_004,finance,FIN,n not stated in correct units,Write the value of n (number of periods) explicitly.,n = years × m. Wrong n = wrong answer.,"Did you know — the DBE says 'months vs years confused' every year. 5 years × 12 months = 60 periods, not 5.",critical,dbe_diagnostic
PR_FIN_005,finance,FIN,no timeline drawn for complex deposits,Draw a simple timeline when deposits or withdrawals occur on different dates.,Timelines prevent missed periods.,"Quick tip — the DBE recommends timelines. Two lines on paper, two marks saved.",high,exam_convention
PR_FIN_006,finance,FIN,last payment date not marked,Indicate on the timeline when the last payment is made.,The last payment is often the wrong period.,Fun fact — the DBE flagged 'missed payments' as a 2025 error. A timeline makes missed payments visible.,high,dbe_diagnostic
PR_FIN_007,finance,FIN,missed payments not shown step by step,Show the outstanding balance calculation step by step for missed payments.,Each missed payment changes the balance.,Did you know — the DBE says multi-step finance errors spiked in 2025. Show each step.,critical,dbe_diagnostic
PR_FIN_008,finance,FIN,simple and compound mixed,Never mix simple and compound formulae without explanation.,They use different interest structures.,Fun fact — the DBE says 'mixed simple and compound' is a recurring error. Read the question. Pick one.,high,dbe_diagnostic
PR_FIN_009,finance,FIN,money not rounded to two decimals,Round money to two decimals and write R or the currency symbol.,Money answers are always 2 decimals with currency.,Did you know — the DBE awards a mark for the R symbol and correct rounding. Two easy marks.,high,exam_convention
PR_FIN_010,finance,FIN,final payment calculated without balance,"Calculate the outstanding balance first, then the final payment.",Final payment = balance + one month interest.,Quick tip — the DBE says final payments are almost always wrong. Do the balance first.,high,dbe_diagnostic
PR_FIN_011,finance,FIN,i and n definitions not written,Write 'i = r/m' and 'n = mt' before substituting.,Definitions earn the method mark.,"Fun fact — the DBE rewards the definitions. Two lines, two marks.",medium,exam_convention
PR_FIN_012,finance,FIN,reducing balance done year by year without formula,Show each year's calculation or use the correct formula.,Either method works if shown.,"Did you know — the DBE says 'reducing balance' must be shown explicitly. Year by year, or the formula.",high,exam_convention
PR_FIN_013,finance,FIN,compounding frequency not stated,State the compounding frequency clearly (e.g. compounded monthly).,Frequency determines i and n.,Fun fact — the DBE says 'state the frequency'. One line.,medium,exam_convention
PR_FIN_014,finance,FIN,early settlement calculation missing,Calculate the balance on the settlement date before adding extra interest.,Settlement balance differs from regular balance.,Quick tip — the DBE notes 'settlement balance' as a required step.,medium,exam_convention
PR_FIN_015,finance,FIN,intermediate money values rounded too early,Keep intermediate money values to at least four decimals until the final rounding.,Early rounding compounds.,"Did you know — the DBE flags early rounding every year. Keep full accuracy, round once.",high,dbe_diagnostic
PR_CALC_001,calculus,CALC,first-principles formula copied wrong,Write the derivative-from-first-principles definition with correct limit notation.,Wrong formula loses every method mark after it.,Every year the DBE says 'candidates copied the first-principles formula incorrectly'. Check the information sheet.,critical,dbe_diagnostic
PR_CALC_002,calculus,CALC,lim symbol dropped too early,Keep 'lim h→0' until the very last step of a first-principles calculation.,The limit is part of the working.,Did you know — the DBE says 'lim dropped too early'. It's a mark.,high,exam_convention
PR_CALC_003,calculus,CALC,f'(x) not written,Write f'(x) = … on a new line.,The notation proves the operation.,"Fun fact — the DBE says 'f'(x) not stated' every year. Two seconds, one mark.",high,exam_convention
PR_CALC_004,calculus,CALC,f'(x)=0 not written before solving,Explicitly write f'(x) = 0 before solving for turning points.,It's the method mark and the logic.,"Did you know — the DBE flags 'f'(x) = 0 not written explicitly' every year. One line, one mark.",critical,dbe_diagnostic
PR_CALC_005,calculus,CALC,nature of turning point not stated,State local max or local min after the second-derivative test.,Nature is a separate mark.,Fun fact — the DBE rewards 'state the nature'. Two words.,high,exam_convention
PR_CALC_006,calculus,CALC,f''=0 not shown for inflection,Write f''(x) = 0 and solve for point of inflection.,Inflection points come from f''=0.,Quick tip — the DBE says 'f''=0 line required'.,medium,exam_convention
PR_CALC_007,calculus,CALC,concavity direction not stated,Write f''(x) > 0 → concave up (or the equivalent).,Concavity depends on the sign of f''.,Did you know — the DBE says 'concavity poorly understood'. One line clarifies.,high,dbe_diagnostic
PR_CALC_008,calculus,CALC,tangent equation steps skipped,"Calculate the gradient first, then the point, then the equation.","Three steps, three marks.",Fun fact — the DBE breaks the tangent question into 3 marks. Show all 3.,high,exam_convention
PR_CALC_009,calculus,CALC,m = f'(a) not stated,Write the gradient of the tangent as m = f'(a).,Names the gradient clearly.,Quick tip — m = f'(a) earns a method mark.,medium,exam_convention
PR_CALC_010,calculus,CALC,constraint and objective not written,Write the constraint equation and the objective function clearly for optimisation.,"Two equations, two marks.",Did you know — the DBE says 'constraint not stated'. It's a mark.,high,exam_convention
PR_CALC_011,calculus,CALC,objective not reduced to one variable,Express the objective in one variable before differentiating.,One variable is required for differentiation.,Fun fact — the DBE says 'two variables left in'. Substitution first.,critical,exam_convention
PR_CALC_012,calculus,CALC,endpoints not checked,Check endpoints or use the second-derivative test after finding critical values.,Critical values alone don't prove the maximum.,Did you know — the DBE says 'only found critical values'. Check they're the max/min.,high,exam_convention
PR_CALC_013,calculus,CALC,invalid critical value kept,Reject critical values outside the physical domain (negative length etc.).,Some critical values aren't physically valid.,Fun fact — the DBE says 'reject x = 0 for a cylinder'. Practical domain matters.,high,dbe_diagnostic
PR_CALC_014,calculus,CALC,units missing,"Write units for all measurement answers (cm, m², etc.).",Units earn a mark.,"Did you know — the DBE rewards units. cm, m², cm³.",high,exam_convention
PR_CALC_015,calculus,CALC,chain rule steps skipped,Write the intermediate derivative steps for the chain rule.,Steps earn the method mark.,Quick tip — the DBE says 'show the intermediate step'.,high,exam_convention
PR_CALC_016,calculus,CALC,π replaced early,Keep π as a symbol until the final answer if required.,Exact form is often required.,Fun fact — the DBE says 'π treated as a variable'. Keep it as π.,medium,dbe_diagnostic
PR_CALC_017,calculus,CALC,rate notation not stated,Write ds/dt or the correct derivative notation for rate-of-change questions.,The notation names the rate.,Quick tip — the DBE says 'rate notation required'.,medium,exam_convention
PR_CALC_018,calculus,CALC,formula not stated when integrating topics,State which formula you're using when combining calculus with geometry.,Integration questions combine formulas.,Did you know — the DBE flags 'integration of topics' as a 2025 issue. Name every formula.,medium,dbe_diagnostic
PR_CALC_019,calculus,CALC,cubic sketch missing,Draw a neat sketch of the cubic if the question involves graphical interpretation.,The sketch supports the reasoning.,Fun fact — the DBE rewards the sketch. Draw it.,medium,exam_convention
PR_CALC_020,calculus,CALC,turning points not labelled on sketch,Label turning points and inflection points on the cubic sketch.,Labels earn a mark.,Quick tip — the DBE says 'label key points'. Two labels.,medium,exam_convention
PR_PROB_001,probability,PROB,sample space not stated,Write the sample space or total number of outcomes first.,Every probability is over a total.,Did you know — the DBE says 'total outcomes not stated'. One line.,high,exam_convention
PR_PROB_002,probability,PROB,venn not used for overlapping events,Use set notation or a Venn diagram for overlapping events.,Venn shows overlaps clearly.,Fun fact — the DBE says 'Venn diagram under-used'. Draw one.,medium,dbe_diagnostic
PR_PROB_003,probability,PROB,venn regions not filled,Label regions of the Venn with the correct numbers before calculating.,Filled regions make calculations easy.,Did you know — the DBE says 'regions not filled'. Fill every region including outside.,high,exam_convention
PR_PROB_004,probability,PROB,independence test not written,Write P(A and B) = P(A) × P(B) explicitly.,The test is the method mark.,"Every year the DBE says 'proved instead of tested'. The test is a multiplication, not a proof.",critical,dbe_diagnostic
PR_PROB_005,probability,PROB,mutual exclusivity not stated,Write P(A and B) = 0 for mutually exclusive events.,Mutual exclusivity must be stated.,Quick tip — the DBE says 'state the condition'. One line.,medium,exam_convention
PR_PROB_006,probability,PROB,tree branch probabilities missing,Write probabilities on the branches of a tree diagram.,Branches carry the probabilities.,Did you know — the DBE says 'probabilities only at ends'. Put them on branches.,high,exam_convention
PR_PROB_007,probability,PROB,paths not multiplied,Multiply along branches; add the relevant paths.,"Multiply along, add across.",Fun fact — the DBE notes 'added along a path'. Multiply.,high,exam_convention
PR_PROB_008,probability,PROB,'at least one' handled wrong,"For 'at least one', write 1 – P(none).",Complement is the standard method.,Did you know — the DBE says 'at least language'. 1 – P(none) is the answer.,critical,dbe_diagnostic
PR_PROB_009,probability,PROB,counting choices not stated,Write the number of choices for each position.,Choices show the method.,Quick tip — the DBE says 'show the choices'. One line per position.,high,exam_convention
PR_PROB_010,probability,PROB,factorial misused,Use the factorial symbol correctly and expand if small.,Expanding small factorials prevents mistakes.,Did you know — the DBE flagged 'factorials inserted incorrectly' as a 2025 error. Check every !,high,dbe_diagnostic
PR_PROB_011,probability,PROB,restrictions not handled first,List choices for the restricted position first.,Restrictions change the total.,Fun fact — the DBE says 'handle the restriction first'. Otherwise the count is wrong.,high,exam_convention
PR_PROB_012,probability,PROB,code questions without boxes,Draw boxes or lines for each position in a code question.,Boxes structure the counting.,Quick tip — the DBE says 'use boxes for codes'. Draw them.,medium,exam_convention
PR_PROB_013,probability,PROB,answer form wrong,Write the probability as a fraction in simplest form or decimal as required.,Wrong form loses a mark.,Did you know — the DBE says 'form of answer matters'. Fraction if the question asks for fraction.,medium,exam_convention
PR_PROB_014,probability,PROB,P > 1 given,Check that your probability is never greater than 1.,Probability above 1 is impossible.,Fun fact — the DBE says 'P > 1 found'. Stop and check. Something's wrong.,high,exam_convention
PR_PROB_015,probability,PROB,permutation vs combination confused,State whether order matters (permutation) or not (combination).,The distinction changes the count.,Did you know — the DBE says 'order matters or not' is a top-3 error. State it.,high,exam_convention
PR_AGEO_001,analytical,AGEO,distance formula not written,Write the distance formula before substituting coordinates.,Formula-first earns the method mark.,Every year the DBE says 'formula not written'. Write it. It's a mark.,high,dbe_diagnostic
PR_AGEO_002,analytical,AGEO,midpoint formula not written,Write the midpoint formula before substituting.,Formula-first earns the method mark.,"Fun fact — same rule every time. Formula first, then numbers.",medium,exam_convention
PR_AGEO_003,analytical,AGEO,gradient formula not written,Write the gradient formula before substituting.,Formula-first earns the method mark.,Did you know — the DBE says 'gradient formula not stated'. One line.,high,exam_convention
PR_AGEO_004,analytical,AGEO,parallel not proven with gradients,Show m₁ = m₂ to prove lines parallel.,Equal gradients is the proof.,Quick tip — the DBE says 'prove with gradients'. m₁ = m₂.,high,exam_convention
PR_AGEO_005,analytical,AGEO,perpendicular not proven with product,Show m₁ × m₂ = –1 to prove lines perpendicular.,Negative reciprocal product is the proof.,Fun fact — the DBE says 'gradient product = –1'. Show it.,high,exam_convention
PR_AGEO_006,analytical,AGEO,calculated lengths not labelled,Label every length or gradient with the segment name.,Labels show which segment you mean.,Quick tip — the DBE says 'label every calculated value'.,medium,exam_convention
PR_AGEO_007,analytical,AGEO,diagram not updated with new coordinates,Fill in calculated coordinates on the diagram as you go.,Updated diagram prevents rework.,"Did you know — the DBE notes 'diagram not updated'. Two seconds, saves confusion.",medium,exam_convention
PR_AGEO_008,analytical,AGEO,parallelogram 4th vertex by guessing,Use the midpoint or vector method and show the steps.,Two methods work — show one fully.,Fun fact — the DBE flags 'fourth vertex by transformation'. Show the method.,high,dbe_diagnostic
PR_AGEO_009,analytical,AGEO,line equation form wrong,Give the line in the form y = mx + c or ax + by + c = 0 as required.,Wrong form loses a mark.,Did you know — the DBE says 'form of line equation matters'. Read the question.,high,exam_convention
PR_AGEO_010,analytical,AGEO,circle centre and radius not stated,Write the centre and radius before writing the circle equation.,Centre and radius earn method marks.,Fun fact — the DBE says 'state centre and radius'. Two marks.,high,exam_convention
PR_AGEO_011,analytical,AGEO,tangent perpendicular reason not stated,State the reason when the radius is perpendicular to a tangent.,The reason is required.,Did you know — the DBE says 'tangent ⊥ radius frequently forgotten'. State it.,high,dbe_diagnostic
