question_id,question_number,subquestion,marks,question_text,topic_gold,subtopic_gold,skill_gold,secondary_topic_gold,command_verb_gold,structure_type_gold,notes,labeler,labelled_at
2025_P1_Q6.1,6,6.1,2,Write down the coordinates of the x-intercept of g in terms of p,Functions & Graphs,Graph interpretation,Write down an intercept in terms of a parameter,,write down,routine_calculation,Marks estimated from standard NSC allocation,analyst,2026-09-10
2025_P1_Q6.2,6,6.2,4,"Graph g intersects the horizontal asymptote of f at x = 1 and graph f at x = 3. Graphs f and g also intersect on the y-axis. Determine the equation of f.",Functions & Graphs,Hyperbola,Determine the equation of a hyperbola from given conditions,,determine,multi_step_calculation,Marks estimated from standard NSC allocation,analyst,2026-09-10
2025_P1_Q6.3,6,6.3,2,Describe the transformation that g must undergo to become an axis of symmetry of f that cuts f at two points.,Functions & Graphs,Transformations,Describe a required transformation of a line,,describe,interpretation_explanation,Marks estimated from standard NSC allocation,analyst,2026-09-10
2025_P1_Q7.1,7,7.1,2,What will this holiday cost in 5 years' time?,Finance,Compound interest,Calculate future value using compound interest,,calculate,routine_calculation,,analyst,2026-09-10
2025_P1_Q7.2,7,7.2,4,Calculate the accumulated amount in the account on 1 January 2026.,Finance,Annuities,Calculate the future value of an annuity,,calculate,multi_step_calculation,,analyst,2026-09-10
2025_P1_Q7.3.1,7,7.3.1,5,"How long, in completed months, will it take Rajesh to repay the loan from the time the loan was granted?",Finance,Present/future value,Calculate loan repayment time using present-value methods,,calculate,multi_step_calculation,,analyst,2026-09-10
2025_P1_Q7.3.2,7,7.3.2,2,Calculate the value of the final payment.,Finance,Present/future value,Calculate the final payment of a loan,,calculate,multi_step_calculation,Marks estimated from standard NSC allocation,analyst,2026-09-10
2025_P1_Q8.1,8,8.1,4,Determine f'(x) from first principles if f(x) = -2x + 3,Calculus,First principles,Differentiate from first principles,,determine,multi_step_calculation,Marks estimated from standard NSC allocation,analyst,2026-09-10
2025_P1_Q8.2.1,8,8.2.1,2,Determine g'(x) if g(x) = -3x⁴ + 2x,Calculus,Rules of differentiation,Differentiate a polynomial using standard rules,,determine,routine_calculation,,analyst,2026-09-10
2025_P1_Q8.2.2,8,8.2.2,2,Determine dy/dx if y = (2x⁴ + 1)/x²,Calculus,Rules of differentiation,Differentiate after algebraic simplification,,determine,multi_step_calculation,,analyst,2026-09-10
2025_P1_Q9.1,9,9.1,4,Calculate the coordinates of E,Calculus,Cubic graphs,Calculate a turning point of a cubic function,,calculate,multi_step_calculation,,analyst,2026-09-10
2025_P1_Q9.2,9,9.2,3,For which values of x is f concave down?,Calculus,Cubic graphs,Determine intervals of concavity,,determine,multi_step_calculation,,analyst,2026-09-10
2025_P1_Q9.3,9,9.3,4,Use the graph to determine the values of x for which f(x)·f''(x) < 0,Calculus,Cubic graphs,Interpret the sign of f(x)·f''(x) from a graph,,determine,graph_interpretation,,analyst,2026-09-10
2025_P1_Q9.4,9,9.4,6,For which values of t will y = -11x + t intersect f at 3 distinct points?,Calculus,Cubic graphs,Determine parameter values for three intersection points,,determine,multi_step_calculation,,analyst,2026-09-10
2025_P1_Q10.1,10,10.1,3,Show that the volume of the cylinder is V = 25x²/(4π) − x³/(4π),Calculus,Optimisation,Derive a single-variable volume formula,,show,proof_show_that,,analyst,2026-09-10
2025_P1_Q10.2,10,10.2,3,Calculate the value of x that will maximise the volume of the cylinder,Calculus,Optimisation,Calculate the maximising value for volume,,calculate,multi_step_calculation,,analyst,2026-09-10
2025_P1_Q11.1.1,11,11.1.1,3,The events male and preferring juice are independent. Show that e = 84.,Probability,Contingency tables,Show independence using a contingency table,,show,proof_show_that,,analyst,2026-09-10
2025_P1_Q11.1.2,11,11.1.2,3,"Calculate the probability that a female learner, chosen at random, will like energy drinks.",Probability,Contingency tables,Calculate conditional probability from a contingency table,,calculate,routine_calculation,,analyst,2026-09-10
2025_P1_Q11.2,11,11.2,4,Calculate the number of cups of coffee that will be sold on a non-rainy day.,Probability,Tree diagrams,Calculate expected value using a probability tree,,calculate,word_problem_application,,analyst,2026-09-10
2025_P1_Q11.3.1,11,11.3.1,2,Calculate the total number of possible ways in which the 8 runners can finish the race if Bongi finishes in a position immediately after Andrew.,Probability,Counting principles,Calculate arrangements with an adjacency constraint,,calculate,routine_calculation,,analyst,2026-09-10
2025_P1_Q11.3.2,11,11.3.2,4,Calculate the probability that TWO OR MORE runners finish the race after Andrew and before Bongi.,Probability,Counting principles,Calculate probability using counting principles,,calculate,multi_step_calculation,,analyst,2026-09-10
